Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p_corr,shms_dp
4,3.37275,0.0104718,0.35,0.275000,0.278487,7.54496e-05,0.4,0.325000,0.344239,7.36486e-06,100,8.95281,4.47225,8.65924,0.76839,0.763019,0.7586,0.0799685,4.65342,6.05606,4.51275,0.426082,6.61913,0.299596,69.1702,125.853,0.0124315,0.0333765,0.0992009,0.0453376,0.100547,0.0992009,5.60438,5.3798,8.151,8.7125,9.62358,6.52152,0.273047,0.337436,2.22258,-8.46546
4,3.37644,0.00799412,0.35,0.275000,0.282134,7.14333e-05,0.4,0.375000,0.373989,0.000101511,100,4.69696,0.732881,4.37669,0.655052,0.641863,0.630592,0.0290684,23.9733,36.5975,23.2769,0.943021,36.2505,0.751675,69.1702,125.853,0.176822,0.0983501,1.26323,0.381393,0.285528,1.26323,35.4019,33.9672,52.2889,50.8403,9.47924,6.17179,0.276137,0.365692,2.38734,-1.68022
4,3.78996,0.0163568,0.35,0.325000,0.324579,0.000100755,0.4,0.375000,0.376585,9.29103e-05,100,6.32673,0.84024,5.94666,0.709492,0.698391,0.688979,0.0236374,43.8032,61.7388,40.8728,1.28498,61.1464,0.974985,69.1702,125.853,0.25144,0.145449,1.88409,0.672414,0.459473,1.88409,55.3686,51.1628,83.3495,81.0216,8.77394,5.711,0.316565,0.366879,2.34447,-3.44549
4,4.20543,0.0165796,0.35,0.375000,0.37119,9.50978e-05,0.4,0.375000,0.380968,8.00566e-05,100,6.4791,1.13992,6.26552,0.713716,0.70776,0.702822,0.031142,27.0048,37.837,24.6211,1.03103,35.4247,0.799261,69.1702,125.853,0.130223,0.248907,0.66846,0.312671,0.638904,0.66846,29.1943,26.2074,44.6229,40.6557,8.01172,5.19479,0.360333,0.369801,2.30069,-5.24857
4,4.59366,0.0113132,0.35,0.425000,0.418406,8.86395e-05,0.4,0.375000,0.386491,4.22113e-05,100,3.52108,0.971136,3.38139,0.601121,0.593572,0.587315,0.051504,7.39836,12.3076,6.53009,0.567475,10.7899,0.469906,69.1702,125.853,0.0262834,0.0655748,0.20403,0.0711164,0.188853,0.20403,7.62266,6.63342,11.7916,10.0885,7.27139,4.67926,0.404611,0.374031,2.26197,-6.84323
4,3.3746,0.00776562,0.35,0.275000,0.282188,7.04258e-05,0.4,0.425000,0.423592,0.00010237,100,6.36616,1.07429,5.94851,0.710597,0.698447,0.688098,0.029992,20.9454,29.4757,21.0189,0.77009,31.5889,0.610957,69.1702,125.853,0.253365,0.147277,1.03725,0.457318,0.432459,1.03725,27.5605,27.13,41.6134,43.3405,9.47253,5.73965,0.276357,0.414357,2.70302,11.3209
4,3.7709,0.0152821,0.35,0.325000,0.325826,0.000100734,0.4,0.425000,0.423326,0.000103902,100,5.38434,0.612273,5.03598,0.680318,0.667994,0.657431,0.0208573,42.1172,61.9081,41.3995,1.12558,61.6148,0.930076,69.1702,125.853,0.334134,0.405247,2.21297,0.708082,1.06456,2.21297,54.1587,52.285,83.342,80.5608,8.69157,5.29421,0.316802,0.411732,2.6144,7.67102
4,4.14701,0.0188498,0.35,0.375000,0.37278,9.93043e-05,0.4,0.425000,0.423705,0.0001017,100,5.15185,0.682292,4.85066,0.672197,0.661042,0.651585,0.0244385,34.63,51.5176,31.8795,1.10763,48.8636,0.890453,69.1702,125.853,0.228377,0.280977,1.48727,0.551841,0.848959,1.48727,41.8548,37.9149,65.3152,60.1744,7.86497,4.8016,0.362132,0.410967,2.51455,3.55899
4,4.5682,0.013229,0.35,0.425000,0.420567,9.64139e-05,0.4,0.425000,0.424144,0.000103528,100,5.66116,1.23972,5.40277,0.689478,0.680945,0.673799,0.0398461,14.5717,21.1344,13.3689,0.740429,20.2623,0.581849,69.1702,125.853,0.0808537,0.227129,0.481538,0.271844,0.573021,0.481538,15.8063,14.1675,24.9518,22.9247,7.1798,4.37923,0.406703,0.410103,2.45735,1.20306
4,4.96664,0.00765804,0.35,0.475000,0.468451,8.63266e-05,0.4,0.425000,0.423911,0.00010575,100,4.12839,1.64069,3.96649,0.630923,0.623423,0.61722,0.074497,3.72902,5.91041,3.28146,0.393422,5.46181,0.313372,69.1702,125.853,0.0229215,0.0390587,0.095997,0.0616036,0.109722,0.095997,3.30026,2.84931,5.24914,4.69857,6.52088,3.96854,0.451121,0.408025,2.39696,-1.28385
4,3.37942,0.00661221,0.35,0.275000,0.284138,6.27934e-05,0.4,0.475000,0.463218,4.4357e-05,100,4.12271,0.973997,3.53589,0.630665,0.601905,0.575308,0.044287,7.51839,11.9214,7.5917,0.467043,12.0529,0.390383,69.1702,125.853,0.107862,0.0568547,0.869997,0.275102,0.170852,0.869997,11.1477,11.0121,17.1461,16.6938,9.40248,5.36091,0.277886,0.453698,2.93996,21.0789
4,3.74597,0.0136636,0.35,0.325000,0.326958,0.000100631,0.4,0.475000,0.469497,8.66847e-05,100,6.62174,1.05988,6.10165,0.71756,0.703019,0.690333,0.0281831,24.3016,33.8669,23.8619,0.828351,34.2409,0.660838,69.1702,125.853,0.295336,0.18461,1.52947,0.47895,0.570883,1.52947,31.9029,30.6957,50.1907,49.1891,8.60043,4.8867,0.318647,0.457736,2.87024,18.2077
4,4.12459,0.0190638,0.35,0.375000,0.372724,9.82688e-05,0.4,0.475000,0.472133,0.00010103,100,5.14244,0.744168,4.74144,0.67186,0.656807,0.643781,0.0267096,25.025,37.2473,23.5008,0.870017,36.0138,0.718179,69.1702,125.853,0.255099,0.203489,1.46163,0.557466,0.629316,1.46163,29.8309,27.4673,47.7471,44.6445,7.82748,4.444,0.361753,0.458292,2.78728,14.7911
4,4.56126,0.0130197,0.35,0.425000,0.420185,9.43039e-05,0.4,0.475000,0.473382,0.000101745,100,4.77483,0.994482,4.48709,0.658113,0.646522,0.636626,0.0387473,11.8923,18.0703,10.8294,0.610234,16.3015,0.52165,69.1702,125.853,0.0965932,0.128953,0.551186,0.170858,0.375097,0.551186,12.6707,11.2979,20.5803,17.944,7.17999,4.06711,0.406315,0.457804,2.74173,12.9151
4,4.95205,0.00744568,0.35,0.475000,0.46744,8.29773e-05,0.4,0.475000,0.473641,0.000104563,100,6.50971,3.1341,6.20695,0.71455,0.706083,0.699016,0.0851243,3.06924,4.29535,2.84564,0.319139,4.39021,0.249727,69.1702,125.853,0.0204944,0.0685156,0.0954785,0.0528241,0.196962,0.0954785,2.63772,2.36907,4.32417,4.16821,6.52707,3.68979,0.44972,0.456409,2.67698,10.2484
