Q2,Q2_corr,Q2_corr_err,xbj,xbj_corr,xbj_corr_err,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp
4,3.41118,0.00428282,0.275000,0.287011,3.88323e-05,0.375000,0.37367,0.00010132,100,4.69425,1.07188,4.26869,0.654945,0.637186,0.621728,0.0425405,11.7594,17.9548,11.1912,0.680638,17.7414,0.529207,69.1702,125.853,0.114534,0.0381649,0.781983,0.240135,0.102632,0.781983,18.9256,17.7654,28.0087,27.1411,9.36004,6.10254,0.280903,0.365145,2.36841,-2.45963
4,3.78095,0.0142338,0.325000,0.325424,0.000100268,0.375000,0.376718,9.07352e-05,100,5.95558,0.88578,5.57505,0.698661,0.686686,0.6765,0.0268111,33.6428,48.1533,31.4646,1.14064,47.6978,0.865589,69.1702,125.853,0.199046,0.121568,1.54467,0.538623,0.38347,1.54467,45.0726,41.7248,67.8395,65.8987,8.72479,5.67986,0.317324,0.367017,2.33371,-3.88883
4,4.21176,0.0140054,0.375000,0.370507,9.35172e-05,0.375000,0.380241,7.67697e-05,100,6.91498,1.36094,6.68134,0.725148,0.719136,0.714154,0.03427,22.9976,31.7144,20.8696,0.951176,29.9891,0.725149,69.1702,125.853,0.105219,0.211938,0.563265,0.239181,0.527816,0.563265,24.3255,21.7391,37.1737,34.2524,8.04283,5.21955,0.359589,0.369055,2.30431,-5.09974
4,4.60467,0.00808659,0.425000,0.416698,7.76276e-05,0.375000,0.385294,4.04911e-05,100,4.19905,1.40235,4.06706,0.634104,0.628117,0.623173,0.0625823,5.36125,8.45484,4.76914,0.469581,7.3532,0.384564,69.1702,125.853,0.0175408,0.0288694,0.126051,0.0288848,0.0856345,0.126051,4.91573,4.33027,7.60143,6.50803,7.33147,4.72536,0.403709,0.37321,2.26995,-6.51465
4,3.40678,0.00431245,0.275000,0.286834,4.02834e-05,0.425000,0.42347,0.000103856,100,6.00676,1.42833,5.68818,0.700203,0.690344,0.682049,0.0427919,10.0581,14.3645,10.1969,0.53775,15.4489,0.425249,69.1702,125.853,0.113958,0.0591899,0.411638,0.231575,0.178918,0.411638,14.6891,14.639,22.225,23.2677,9.35665,5.67732,0.280658,0.413893,2.68329,10.5082
4,3.76914,0.0132105,0.325000,0.326578,0.000100648,0.425000,0.423232,0.000104597,100,4.58231,0.555541,4.27357,0.650444,0.637399,0.626227,0.0226271,32.5614,50.0602,31.8718,0.993694,49.1294,0.83591,69.1702,125.853,0.248951,0.150173,1.76118,0.56696,0.494402,1.76118,44.222,42.7434,68.0565,65.3482,8.66085,5.27807,0.314619,0.40993,2.60642,7.34252
4,4.1852,0.0153522,0.375000,0.371634,9.83808e-05,0.425000,0.423596,0.000100757,100,4.37379,0.630096,4.12504,0.641739,0.630771,0.621512,0.0269577,25.0576,39.0464,23.2071,0.931676,36.7714,0.763309,69.1702,125.853,0.157261,0.152061,1.04514,0.326682,0.465874,1.04514,30.4798,27.8526,47.5985,43.8591,7.96298,4.86084,0.361082,0.410995,2.54478,4.80393
4,4.60578,0.00883604,0.425000,0.418383,8.49021e-05,0.425000,0.424218,0.000101115,100,4.59423,1.27523,4.3804,0.650929,0.642022,0.634569,0.0517961,7.32627,11.2551,6.97916,0.515403,10.9552,0.418515,69.1702,125.853,0.0366965,0.125734,0.257566,0.134217,0.280607,0.257566,7.73295,7.19512,12.2198,11.4438,7.28843,4.44499,0.404636,0.410277,2.49091,2.58548
4,3.41235,0.00295483,0.275000,0.289608,2.96544e-05,0.475000,0.456316,1.32175e-05,100,1.12074,0.692053,0.739679,0.414147,0.367046,0.323075,0.0791765,1.02328,2.47082,1.01982,0.180317,2.40423,0.183208,69.1702,125.853,0.00928559,0.00310627,0.185533,0.0600365,0.00967225,0.185533,2.37052,2.33379,3.64316,3.44219,9.25612,5.34648,0.282866,0.446302,2.86874,18.1459
4,3.74482,0.0100738,0.325000,0.329517,9.43393e-05,0.475000,0.464588,6.06433e-05,100,5.50073,1.1612,5.06203,0.684235,0.668948,0.655657,0.0385936,11.4304,16.7053,11.311,0.560331,16.8959,0.466055,69.1702,125.853,0.130026,0.0931997,0.7289,0.200039,0.275313,0.7289,15.7576,15.2853,24.7384,24.3167,8.50926,4.87759,0.321187,0.45263,2.81724,16.0248
4,4.14944,0.016411,0.375000,0.372245,0.00010154,0.475000,0.468235,8.21912e-05,100,4.4333,0.826999,4.11034,0.644267,0.630102,0.61798,0.0348844,13.454,20.8827,12.4551,0.640798,19.9536,0.53782,69.1702,125.853,0.129093,0.0858876,0.702223,0.27558,0.268522,0.702223,16.0796,14.6287,25.6948,23.8822,7.88242,4.50219,0.361177,0.454509,2.78388,14.6511
4,4.59967,0.00892742,0.425000,0.418582,8.21593e-05,0.475000,0.471317,8.9132e-05,100,4.41036,1.23823,4.20625,0.643297,0.634425,0.626983,0.0525162,5.76902,8.9679,5.30366,0.41058,8.13744,0.358638,69.1702,125.853,0.0358114,0.0421281,0.20448,0.0544248,0.124154,0.20448,5.57027,5.04569,9.04021,8.02304,7.27437,4.1339,0.404635,0.455549,2.763,13.7909
4,3.83498,0.015842,0.325000,0.323412,0.00010077,0.425000,0.441123,1.92756e-05,90,6.12639,2.02209,5.9615,0.703744,0.69884,0.694801,0.0591577,7.18511,10.2098,6.64114,0.424793,9.86789,0.610115,111.463,62.5913,0.269131,0.0469401,0.144143,0.683672,0.136692,0.144143,9.14483,8.05023,14.2105,12.5927,8.90644,5.27205,0.315406,0.430924,2.79007,-8.12809
4,4.28752,0.00571832,0.375000,0.364711,5.61697e-05,0.425000,0.442795,1.42979e-05,90,4.09255,2.17752,3.95688,0.629289,0.622968,0.617769,0.0997498,2.01261,3.19822,1.78288,0.23868,2.92523,0.336374,111.463,62.5913,0.0877595,0.00925768,0.0422115,0.110542,0.0276872,0.0422115,2.16191,1.81093,3.41617,2.97692,8.35389,4.94215,0.354474,0.430754,2.77672,-8.56778
4,3.77323,0.0136015,0.325000,0.325688,9.94391e-05,0.475000,0.47493,9.87903e-05,90,8.08331,1.40875,7.66305,0.751724,0.742777,0.735141,0.0289457,34.6654,46.1146,32.6979,0.957348,44.5993,1.23739,111.463,62.5913,1.26852,0.337553,1.44098,2.34789,0.914955,1.44098,42.1703,37.8231,66.5933,59.6933,8.69991,4.8938,0.317464,0.463061,2.93624,-3.31494
4,4.1987,0.0147739,0.375000,0.370561,9.54611e-05,0.475000,0.477613,9.02672e-05,90,4.79777,0.798845,4.53427,0.659005,0.648476,0.63958,0.0309627,21.8878,33.2134,19.6538,0.763242,30.4881,1.04585,111.463,62.5913,0.422295,0.135476,0.860286,0.984504,0.387092,0.860286,23.9398,20.8863,38.492,33.7439,8.01847,4.5033,0.360491,0.464271,2.88716,-4.93125
4,4.60968,0.00787676,0.425000,0.416833,8.07004e-05,0.475000,0.480967,6.53068e-05,90,3.26487,0.983215,3.11958,0.587054,0.578627,0.571612,0.0558874,5.0388,8.58319,4.4678,0.35879,7.43784,0.54236,111.463,62.5913,0.0268036,0.0200015,0.157591,0.0848098,0.0575762,0.157591,5.0025,4.38915,8.17113,6.94521,7.33473,4.09809,0.403283,0.465558,2.83742,-6.5689
4,3.4591,0.00875103,0.325000,0.327585,8.71844e-05,0.425000,0.437077,3.63917e-05,400,5.1628,1.1721,4.74563,0.672589,0.656971,0.64343,0.0418823,10.6217,15.7922,9.77808,0.496156,15.2238,0.650286,120.391,75.3767,0.246017,0.101706,0.614724,0.606268,0.309228,0.614724,13.4385,11.9313,20.6497,18.7093,7.98592,4.77656,0.318757,0.425323,2.46132,-7.35327
4,4.32782,0.00607462,0.425000,0.416749,7.09113e-05,0.425000,0.440767,2.30135e-05,400,4.5589,1.85512,4.40539,0.649488,0.643086,0.637802,0.0759725,3.28331,5.05523,2.76145,0.293407,4.38729,0.381558,120.391,75.3767,0.0754775,0.00834081,0.0718852,0.169849,0.0281572,0.0718852,3.00536,2.45095,4.76362,3.94762,6.94264,4.15569,0.402553,0.425421,2.44046,-8.13872
4,3.45288,0.00722511,0.325000,0.330105,8.69061e-05,0.475000,0.473652,0.000102698,400,5.05452,0.827387,4.65658,0.668674,0.653443,0.640241,0.030276,18.9175,28.291,18.2391,0.63693,27.7715,0.856467,120.391,75.3767,0.923238,0.154968,1.10898,1.35189,0.521112,1.10898,27.0363,24.5258,42.4089,38.8225,7.89486,4.46775,0.320796,0.460616,2.64361,-0.491904
4,3.81346,0.0155264,0.375000,0.374856,0.000101056,0.475000,0.475146,9.8438e-05,400,4.11841,0.530392,3.81781,0.630469,0.616261,0.604091,0.0241422,28.8575,45.7715,26.5175,0.838376,43.0072,1.14179,120.391,75.3767,1.06215,0.490741,1.45748,1.95148,1.31192,1.45748,39.3288,34.0233,62.7443,54.4815,7.2457,4.11419,0.363055,0.459997,2.57822,-2.95312
4,4.19321,0.0171291,0.425000,0.421555,0.000100075,0.475000,0.477974,9.37112e-05,400,3.77862,0.581622,3.49407,0.614328,0.599684,0.587087,0.0288374,19.4222,31.6154,17.4393,0.69519,28.4166,0.960155,120.391,75.3767,0.393002,0.318217,1.03373,0.944472,0.888261,1.03373,21.4,18.4315,34.6289,29.1177,6.63921,3.76455,0.406823,0.461011,2.53517,-4.57358
4,4.54,0.00966602,0.475000,0.468842,9.02852e-05,0.475000,0.481389,7.64142e-05,400,2.98943,0.81267,2.75345,0.570781,0.555783,0.542958,0.0499059,5.9316,10.3921,4.95908,0.406154,8.53349,0.565034,120.391,75.3767,0.0305151,0.0183577,0.300156,0.0834927,0.0641773,0.300156,6.06735,5.02257,9.94228,8.02285,6.02883,3.40283,0.450793,0.462548,2.48543,-6.44606
4,3.44903,0.0074185,0.325000,0.32978,8.80532e-05,0.525000,0.523444,0.000102627,400,6.49125,1.28783,5.74865,0.714047,0.692265,0.67276,0.0351014,15.816,22.1497,15.2598,0.57842,23.6202,0.72759,120.391,75.3767,0.893863,0.274337,1.23907,1.78613,0.914789,1.23907,21.157,18.8503,34.0547,32.163,7.89726,4.11506,0.320797,0.509224,2.92194,9.98481
4,3.79982,0.0148843,0.375000,0.376136,0.000101,0.525000,0.523366,0.000103489,400,5.67528,0.817456,5.17642,0.689932,0.673075,0.65812,0.0261974,27.4586,39.799,25.8011,0.761302,37.8885,1.03255,120.391,75.3767,1.32362,0.287252,1.87971,2.48694,0.979268,1.87971,34.4918,30.3863,56.5404,48.9019,7.18947,3.77708,0.363801,0.506114,2.82159,6.20745
4,4.14196,0.0189928,0.425000,0.421911,0.000100793,0.525000,0.52403,0.000104484,400,4.34735,0.645834,4.01057,0.640605,0.625495,0.612509,0.0278064,21.709,33.8882,18.6545,0.710979,30.1968,0.965385,120.391,75.3767,0.67597,0.125586,1.0908,1.38365,0.420925,1.0908,23.4197,19.2598,38.9614,32.6426,6.56006,3.45552,0.407045,0.505165,2.74469,3.31281
4,4.51158,0.0110604,0.475000,0.470777,9.63128e-05,0.525000,0.523223,0.000102594,400,6.99331,1.96158,6.36943,0.727107,0.710688,0.696235,0.0486935,9.91601,13.6376,8.06439,0.481389,11.6177,0.629114,120.391,75.3767,0.144584,0.0382491,0.568197,0.26367,0.137067,0.568197,8.4826,6.74224,14.2902,11.7537,5.95674,3.14291,0.451207,0.502139,2.67504,0.691312
4,4.11439,0.0177719,0.425000,0.422544,0.000101248,0.575000,0.571474,9.81442e-05,400,6.77916,1.49001,6.17701,0.721685,0.705218,0.69042,0.0384715,15.3441,21.2615,14.1556,0.600021,20.5423,0.770299,120.391,75.3767,0.801469,0.172182,1.08624,2.1374,0.591129,1.08624,15.8705,13.6341,27.1363,22.7359,6.50746,3.15943,0.406753,0.550428,2.96877,11.7475
4,4.50895,0.0116246,0.475000,0.471051,9.33408e-05,0.575000,0.572929,0.000100315,400,5.98267,1.77577,5.52732,0.699479,0.685116,0.672531,0.0534583,7.46651,10.6744,6.32838,0.419245,9.4788,0.553431,120.391,75.3767,0.18055,0.0878395,0.411363,0.68698,0.282148,0.411363,6.54024,5.30821,11.356,9.0531,5.94771,2.88272,0.451323,0.549232,2.92629,10.1484
4,3.45354,0.00870585,0.325000,0.327968,9.19402e-05,0.525000,0.529548,7.57459e-05,390,9.52738,2.92824,8.46426,0.778228,0.759312,0.742195,0.0480066,15.6971,20.1703,13.6295,0.697382,18.6317,0.863205,107.597,55.8068,0.203243,0.0958258,1.16146,0.254579,0.338353,1.16146,17.869,15.1749,28.8403,25.7926,7.96311,4.1026,0.319077,0.515773,2.97547,-6.68438
4,4.30561,0.00755934,0.425000,0.417966,8.37119e-05,0.525000,0.536007,5.158e-05,390,5.92941,2.40384,5.43016,0.697867,0.681872,0.667966,0.0731442,5.65419,8.1021,4.50583,0.431519,6.88305,0.582049,107.597,55.8068,0.0467326,0.017945,0.294129,0.192645,0.0544248,0.294129,5.12044,4.02191,8.59053,7.03602,6.8819,3.53845,0.403805,0.518046,2.94601,-7.60819
4,4.53529,0.0106106,0.475000,0.469244,9.07014e-05,0.575000,0.578241,8.44715e-05,390,5.58217,1.8913,5.254,0.686919,0.675816,0.666331,0.0617952,7.80923,11.3685,6.23269,0.515271,9.21296,0.695165,107.597,55.8068,0.0550171,0.0476542,0.311956,0.221672,0.153357,0.311956,5.77287,4.53154,10.0615,7.82189,6.01461,2.88129,0.450278,0.555046,2.9816,-6.49228
4,3.17961,0.00260593,0.325000,0.337888,3.3309e-05,0.325000,0.340165,1.8273e-05,140,3.59008,1.54143,3.11998,0.604747,0.57865,0.554339,0.0802698,2.39265,3.95646,2.55413,0.243136,4.0176,0.337851,131.166,72.0861,0.0105748,0.0182483,0.298575,0.131043,0.081396,0.298575,5.97531,6.30659,8.52741,8.20132,7.11481,4.88087,0.327589,0.329594,1.70413,-7.29954
4,3.48471,0.0103072,0.375000,0.373884,0.000101909,0.325000,0.341785,1.6018e-05,140,3.78353,1.12815,3.52413,0.614571,0.601283,0.59003,0.0558642,5.68196,9.24541,5.11261,0.406283,8.77074,0.518891,131.166,72.0861,0.0243702,0.0227947,0.261832,0.144461,0.106799,0.261832,9.97954,8.89672,14.414,13.2822,6.71912,4.60953,0.361335,0.330211,1.69555,-7.76603
